order_id,product_id,customer_id,return_date,return_reason,refund_amount,review_comment_title,review_comment_message
136cce7faa42fdb2cefd53fdc79a6098,a1804276d9941ac0733cfd409f5206eb,ed0271e0b7da060a393796590e7b737a,2017-04-11 12:22:08,Changed mind,65.95,nan,fiquei triste por n ter me atendido.
76c6e866289321a7c93b82b54852dc33,ac1789e492dcd698c5c10b97a671243a,f54a9f0e6b351c431402b8461ea51999,2017-01-23 18:29:09,Defective,35.95,nan,nan
e6ce16cb79ec1d90b1da9085a6118aeb,08574b074924071f4e201e151b152b4e,494dded5b201313c64ed7f100595b95c,2017-05-16 19:41:10,Late delivery,129.53,nan,Aguardando retorno da loja
e6ce16cb79ec1d90b1da9085a6118aeb,08574b074924071f4e201e151b152b4e,494dded5b201313c64ed7f100595b95c,2017-05-16 19:41:10,Not as described,129.53,nan,Aguardando retorno da loja
203096f03d82e0dffbc41ebc2e2bcfb7,5ac9d9e379c606e36a8094a6046f75dc,d2b091571da224a1b36412c18bc3bbfe,2017-09-18 14:31:30,Late delivery,118.86,nan,"os correios estäo em greve... näo recebi nenhum aviso de atraso, mas de qqer forma a empresa responsável deveria dar alguma resposta sobre o atraso."
fbf9ac61453ac646ce8ad9783d7d0af6,7b717060aa783eb7f23a747a3a733dd7,3a874b4d4c4b6543206ff5d89287f0c3,2018-02-20 23:46:53,Changed mind,125.43,nan,Demora muito entregar. Já passou o prazo e ainda não recebi minha encomenda.
acce194856392f074dbf9dada14d8d82,d70f38e7f79c630f8ea00c993897042c,7e20bf5ca92da68200643bda76c504c6,2018-06-04 00:00:13,Changed mind,139.54000000000002,NÃO RECOMENDO!!!! ,"Até o momento não recebi o produto Protetor De Colchão Para Berço - Algodão Impermeável, já fiz a reclamação desde o dia 18/06 e ainda não obtive retorno. Irei cancelar o pedido e estornar a compra hj"
acce194856392f074dbf9dada14d8d82,9451e630d725c4bb7a5a206b48b99486,7e20bf5ca92da68200643bda76c504c6,2018-06-04 00:00:13,Late delivery,88.14,NÃO RECOMENDO!!!! ,"Até o momento não recebi o produto Protetor De Colchão Para Berço - Algodão Impermeável, já fiz a reclamação desde o dia 18/06 e ainda não obtive retorno. Irei cancelar o pedido e estornar a compra hj"
f70a0aff17df5a6cdd9a7196128bd354,cafd558df4c3c9d1c338ba6930ea9a62,456dc10730fbdba34615447ea195d643,2017-08-10 11:58:33,Changed mind,313.19,nan,O produto veio faltando a base para auto e como eu fiz o pedido por telefone justamente para confirmar se a base demonstrada pela foto acompanhava o produto e tbm constava na descrição do item.
1790eea0b567cf50911c057cf20f90f9,2d8f2be4f08788ee3bf5356af2b2ee6c,52142aa69d8d0e1247ab0cada0f76023,2018-04-16 21:15:39,Not as described,224.9,Enganadores,"Foi entregue um produto divergente do que eu havia comprado, além de não vir com todos os acessórios constantes na descrição do anuncio. Solicito providências urgentes."
